,carat,cut,color,clarity,depth,table,x,y,z,price
13025,0.26,Very Good,H,VVS2,63.3,58,4.08,4.04,2.57,600
13026,0.26,Premium,H,VVS1,62.5,58,4.11,4.08,2.56,600
13027,0.26,Ideal,H,VVS1,61.2,56,4.16,4.11,2.53,600
13028,0.26,Premium,H,VVS2,62.4,58,4.07,4.04,2.53,600
13029,0.26,Ideal,H,IF,61.1,57,4.16,4.12,2.53,600
13030,0.23,Very Good,F,VVS2,58.1,63,4.08,4.04,2.36,600
13031,0.26,Premium,H,VVS1,59.8,59,4.17,4.12,2.48,600
13032,0.41,Good,G,I1,63.8,56,4.74,4.7,3.01,600
13033,0.41,Premium,I,SI2,60.6,59,4.84,4.8,2.92,600
13034,0.38,Premium,J,VS1,62.1,60,4.6,4.64,2.87,600
13035,0.36,Premium,F,SI1,61.1,59,4.58,4.62,2.81,600
13036,0.38,Very Good,F,SI2,61,61,4.61,4.67,2.83,600
13037,0.36,Very Good,F,SI1,60.3,58,4.6,4.65,2.79,600
13038,0.36,Premium,F,SI1,61.1,59,4.55,4.59,2.79,600
13039,0.36,Premium,F,SI1,62.3,59,4.5,4.56,2.82,600
13040,0.36,Ideal,F,SI1,61.5,56,4.59,4.62,2.83,600
13041,0.36,Ideal,F,SI1,62,56,4.54,4.59,2.83,600
13042,0.36,Very Good,F,SI1,61.9,59,4.51,4.54,2.8,600
13043,0.36,Premium,F,SI1,61.5,58,4.54,4.6,2.81,600
13044,0.36,Ideal,F,SI1,60.1,56,4.62,4.67,2.79,600
13045,0.36,Premium,F,SI1,61.6,60,4.54,4.61,2.82,600
13046,0.36,Ideal,F,SI1,61.5,57,4.55,4.59,2.81,600
13047,0.26,Very Good,E,VS2,62.8,58,4,4.06,2.53,601
13048,0.38,Very Good,I,SI1,59.7,62,4.7,4.74,2.82,601
13049,0.3,Ideal,F,VS2,62.1,53.3,4.3,4.32,2.68,601
13050,0.3,Ideal,F,VS2,62.1,53.6,4.28,4.31,2.67,601
13051,1.11,Premium,G,SI1,62.7,57,6.62,6.5,4.11,5408
13052,1.11,Premium,G,SI1,62.3,58,6.61,6.52,4.09,5408
13053,1.09,Ideal,D,SI2,61.7,59,6.64,6.62,4.09,5410
13054,1.5,Premium,F,I1,60.6,62,7.24,7.22,4.38,5410
13055,1.03,Premium,D,SI1,60.5,61,6.47,6.43,3.9,5410
13056,1.13,Premium,H,SI1,62.1,58,6.7,6.66,4.15,5410
13057,1,Premium,F,SI1,60.6,62,6.43,6.4,3.89,5410
13058,1.01,Very Good,E,SI1,59.6,61,6.47,6.51,3.87,5411
13059,1.01,Very Good,E,SI1,62.8,57,6.35,6.39,4,5411
13060,0.91,Ideal,H,VVS2,61.7,57,6.21,6.23,3.84,5411
13061,0.93,Ideal,E,VS2,62.4,56,6.26,6.3,3.92,5411
13062,1.03,Ideal,E,SI1,62,55,6.46,6.5,4.02,5411
13063,1.01,Good,E,SI1,63.2,59,6.27,6.35,3.99,5411
13064,1.16,Fair,H,SI1,65.8,58,6.54,6.46,4.28,5411
13065,1.16,Ideal,H,SI1,64.2,59,6.66,6.61,4.26,5411
13066,1.23,Good,H,SI2,63.8,57.4,6.72,6.78,4.31,5412
13067,1.5,Ideal,I,I1,61.8,57,7.31,7.39,4.54,5412
13068,1.2,Ideal,I,SI1,61.8,56,6.77,6.8,4.19,5412
13069,1.23,Premium,I,SI1,62.5,59,6.8,6.84,4.26,5412
13070,1.23,Premium,J,VS1,62.7,58,6.79,6.82,4.27,5412
13071,1.24,Ideal,J,VS2,61.7,55,6.91,6.96,4.28,5412
13072,1.13,Ideal,D,SI2,60.1,55,6.79,6.85,4.1,5412
13073,1.18,Ideal,I,SI1,61.3,55.6,6.79,6.84,4.18,5412
13074,1.17,Ideal,D,SI2,62.5,56,6.77,6.7,4.21,5412
13075,1.26,Ideal,D,SI2,61.6,56,6.99,6.95,4.3,5412
13076,1.26,Premium,D,SI2,61.9,58,6.88,6.81,4.24,5412
13077,1,Very Good,E,SI1,63.7,55,6.35,6.4,4.06,5413
13078,1.06,Very Good,H,VS2,60.7,59,6.56,6.63,4,5415
13079,1.01,Good,H,VS1,63.8,59,6.3,6.34,4.03,5416
13080,1.01,Very Good,E,SI1,62.8,59,6.41,6.45,4.04,5416
13081,1.01,Premium,H,VS1,61.1,58,6.45,6.48,3.95,5416
13082,1.01,Ideal,F,SI1,62.7,55,6.45,6.4,4.03,5416
13083,1.5,Good,H,SI2,63.8,57,7.21,7.14,4.58,5416
13084,1.04,Premium,H,VS2,62.7,61,6.48,6.44,4.05,5416
13085,1.04,Ideal,H,VS2,59.3,57,6.64,6.58,3.92,5416
13086,1.03,Ideal,H,SI1,61.1,56,6.5,6.53,3.98,5418
13087,1.03,Ideal,H,SI1,61.7,57,6.47,6.53,4.01,5418
13088,1.01,Good,G,VS2,64.4,58,6.23,6.31,4.04,5418
13089,1.29,Premium,H,SI2,61,57,7.13,6.95,4.31,5418
13090,1.28,Ideal,I,SI2,61.7,59,6.96,6.92,4.28,5419
13091,1.08,Premium,D,SI1,61.6,56,6.64,6.57,4.07,5419
13092,1,Good,F,VS2,63.1,56,6.27,6.31,3.97,5420
13093,1.46,Premium,G,SI2,62.8,52,7.31,7.27,4.58,5421
13094,1.3,Premium,G,SI2,61.8,57,7.02,6.94,4.32,5421
13095,1.09,Ideal,I,VS2,61.9,56,6.62,6.67,4.09,5421
13096,1.21,Premium,H,SI2,62.6,61,6.75,6.7,4.21,5421
13097,1.21,Premium,I,SI1,59.3,59,6.98,6.95,4.13,5421
13098,1.21,Ideal,J,VS1,62.3,55,6.86,6.81,4.26,5421
13099,1.21,Premium,I,SI1,62.1,56,6.92,6.76,4.25,5421
13100,1.01,Very Good,D,SI1,60.7,58,6.49,6.45,3.93,5422
13101,0.81,Very Good,D,VVS2,63.9,56,5.79,5.91,3.74,5423
13102,1.17,Ideal,H,SI2,62.4,53,6.74,6.76,4.21,5423
13103,1.02,Very Good,E,SI1,60.6,59,6.47,6.49,3.93,5424
13104,1.1,Ideal,H,SI1,61.4,55,6.68,6.7,4.11,5424
13105,1.07,Premium,H,VS2,62.1,59,6.56,6.52,4.06,5424
13106,1.14,Premium,G,SI1,62.7,58,6.68,6.63,4.17,5424
13107,1.02,Ideal,D,SI2,61.7,58,6.41,6.49,3.98,5426
13108,1.02,Ideal,G,SI1,62.1,55,6.46,6.49,4.02,5426
13109,1.02,Ideal,H,VS2,62,57,6.43,6.4,3.98,5426
13110,1.02,Premium,H,VS2,61.7,58,6.45,6.41,3.97,5426
13111,1.24,Very Good,J,VS1,59.1,62,7.06,7.04,4.17,5427
13112,1.27,Premium,F,SI2,61,61,7.01,6.95,4.26,5428
13113,1.11,Ideal,G,SI1,62.6,57,6.64,6.56,4.13,5428
13114,1.09,Ideal,H,SI1,60.9,55,6.72,6.69,4.08,5428
13115,1.02,Premium,E,SI1,62.8,58,6.45,6.39,4.03,5429
13116,1.31,Good,H,SI2,64.1,57,6.9,6.84,4.41,5429
13117,1.21,Premium,G,SI2,60.3,58,6.9,6.96,4.18,5430
13118,1.02,Very Good,F,SI1,59.4,60,6.48,6.59,3.88,5430
13119,2.15,Fair,J,I1,65.5,57,8.01,7.95,5.23,5430
13120,1.01,Ideal,G,SI1,63.1,53,6.36,6.42,4.03,5430
13121,0.91,Fair,E,VVS2,63.1,55,6.13,6,3.83,5430
13122,1.01,Premium,E,SI1,62.4,59,6.38,6.35,3.97,5430
13123,1.01,Fair,D,SI1,64.7,57,6.33,6.25,4.07,5430
13124,1.01,Premium,E,VS2,62.3,59,6.38,6.33,3.96,5430
13125,1.01,Good,E,VS2,63.8,59,6.26,6.22,3.98,5430
13126,1.22,Good,I,VS2,57.2,60,7.07,7.01,4.03,5431
13127,1.21,Premium,J,VVS2,61.7,60,6.82,6.85,4.22,5431
13128,0.91,Ideal,E,SI1,62.3,55,6.2,6.23,3.87,5431
13129,1.02,Premium,H,VS2,60.2,62,6.54,6.46,3.91,5432
13130,1.01,Very Good,H,SI1,62.9,56,6.34,6.41,4.01,5433
13131,1.01,Very Good,H,SI1,61.2,60,6.41,6.44,3.93,5433
13132,1.05,Premium,E,SI1,61.2,58,6.57,6.53,4.01,5433
13133,1.15,Premium,H,SI1,62,58,6.77,6.71,4.18,5433
13134,1.11,Premium,H,SI1,62.5,58,6.64,6.61,4.14,5433
13135,1.11,Premium,H,SI1,61.1,60,6.68,6.62,4.06,5433
13136,1.26,Premium,H,SI2,60.9,57,7.03,6.96,4.26,5434
13137,1.06,Very Good,G,SI1,61.3,60,6.53,6.55,4.01,5435
13138,1.07,Ideal,F,SI1,59.4,57,6.73,6.67,3.98,5436
13139,1.05,Ideal,E,SI1,62.1,57,6.48,6.5,4.03,5436
13140,1.07,Premium,F,SI1,62.5,59,6.57,6.52,4.09,5436
13141,1.22,Ideal,G,SI2,62.9,56,6.86,6.78,4.29,5436
13142,1.22,Premium,G,SI2,58.3,61,7,6.92,4.06,5436
13143,1.01,Ideal,E,SI2,61.5,55,6.44,6.51,3.98,5437
13144,1.33,Premium,H,SI2,61,59,7.1,7.06,4.32,5437
13145,1.05,Very Good,G,SI1,60.2,58,6.57,6.61,3.97,5438
13146,1.3,Premium,J,SI1,61.8,59,6.99,6.95,4.31,5438
13147,1.11,Good,G,SI2,59.7,61,6.72,6.69,4,5438
13148,0.9,Premium,E,VS1,59.4,59,6.31,6.28,3.74,5438
13149,1.01,Ideal,G,VS2,61.7,57,6.44,6.49,3.99,5439
13150,0.9,Ideal,E,VS2,62,59,6.17,6.21,3.84,5439
13151,1.08,Ideal,G,SI1,61.7,56,6.6,6.63,4.08,5439
13152,1.19,Premium,I,VS2,61.7,57,6.84,6.77,4.2,5439
13153,1.11,Premium,H,SI1,58.8,59,6.79,6.74,3.98,5439
13154,1.27,Ideal,J,VS2,61.5,57,6.93,6.98,4.28,5442
13155,1.01,Good,D,SI1,63.8,58,6.34,6.38,4.06,5443
13156,1.01,Premium,D,SI1,62.6,58,6.33,6.44,4,5443
13157,1.01,Good,D,SI1,61.7,62,6.3,6.34,3.9,5443
13158,1.01,Ideal,D,SI1,61.2,57,6.44,6.47,3.95,5443
13159,1.01,Very Good,D,SI1,62.9,59,6.39,6.43,4.03,5443
13160,1.01,Good,D,SI1,63.1,60,6.32,6.39,4.01,5443
13161,1.01,Good,D,SI1,61.8,60,6.35,6.37,3.93,5443
13162,1.01,Very Good,D,SI1,61.6,60,6.43,6.47,3.97,5443
13163,1.2,Very Good,H,SI1,63.5,58,6.69,6.73,4.26,5443
13164,1.24,Ideal,J,VS2,62.3,56,6.84,6.91,4.28,5443
13165,1.24,Ideal,E,SI2,59.2,55,7.05,7.03,4.17,5444
13166,1.24,Very Good,I,VS1,61.4,63,6.89,6.88,4.23,5444
13167,1.07,Ideal,G,SI1,61.9,55,6.62,6.57,4.08,5444
13168,1,Premium,E,SI1,60.7,59,6.38,6.41,3.88,5445
13169,1,Premium,E,SI1,62.6,60,6.3,6.35,3.97,5445
13170,1,Premium,E,SI1,61.9,60,6.37,6.46,3.97,5445
13171,1.06,Very Good,E,SI1,63.7,55,6.45,6.49,4.12,5445
13172,1.2,Fair,F,SI2,63.4,60,6.56,6.65,4.19,5445
13173,1.03,Ideal,G,SI1,60.5,55,6.59,6.54,3.97,5445
13174,1.31,Premium,J,SI1,59.4,60,7.06,7.12,4.21,5446
13175,1.31,Good,I,SI2,63.6,55.1,6.92,6.98,4.42,5446
13176,1.04,Very Good,H,VS2,60.9,58,6.5,6.6,3.99,5447
13177,1.12,Very Good,E,SI1,58.8,61,6.74,6.8,3.98,5447
13178,1.37,Good,I,VS2,64.1,58,6.92,6.9,4.43,5449
13179,1.11,Premium,H,VS2,61.7,58,6.64,6.69,4.11,5450
13180,1.11,Very Good,H,VS2,62.4,58,6.57,6.69,4.14,5450
13181,1.31,Very Good,J,SI1,62.3,55,6.98,7.02,4.36,5450
13182,0.9,Ideal,E,SI1,62,56,6.18,6.2,3.84,5450
13183,1.2,Very Good,D,SI2,62.6,57,6.74,6.84,4.25,5451
13184,1.18,Very Good,I,VS1,62.2,57,6.72,6.76,4.19,5451
13185,1.12,Ideal,G,SI1,62,55,6.65,6.68,4.13,5451
13186,1.04,Very Good,G,VS2,61.4,63,6.55,6.51,4.01,5451
13187,1.24,Ideal,J,VS2,62.8,56,6.83,6.8,4.28,5451
13188,1.21,Very Good,J,VS1,62.6,57,6.71,6.8,4.23,5452
13189,1.21,Very Good,I,SI1,62.9,55,6.69,6.76,4.23,5452
13190,1.18,Ideal,G,SI2,60.5,55,6.9,6.85,4.16,5452
13191,0.92,Very Good,E,VS1,60.9,61,6.22,6.25,3.8,5453
13192,1.07,Premium,G,SI1,61.6,58,6.6,6.56,4.05,5453
13193,1.07,Ideal,G,SI1,60.2,57,6.7,6.59,4,5453
13194,1.16,Premium,H,SI1,61.2,58,6.76,6.81,4.15,5454
13195,1.02,Premium,H,VS2,62.4,58,6.43,6.39,4,5454
13196,1.27,Very Good,J,VS2,61.8,60,6.9,6.94,4.28,5455
13197,1.03,Very Good,I,VS1,62.9,53,6.45,6.5,4.07,5455
13198,1.02,Very Good,H,SI1,61,59,6.48,6.53,3.97,5455
13199,1.27,Ideal,J,SI1,61.4,57,6.97,7,4.29,5455
13200,1.02,Premium,F,SI1,61,59,6.58,6.47,3.98,5455
13201,1.08,Ideal,I,VS2,61.8,54,6.6,6.57,4.07,5455
13202,1.24,Very Good,I,SI1,60.4,58,6.95,7.02,4.22,5456
13203,1.06,Very Good,H,VS1,62.2,59,6.47,6.52,4.04,5456
13204,1.02,Very Good,E,SI1,63.2,60,6.33,6.42,4.03,5456
13205,1.12,Ideal,D,SI2,62.6,57,6.61,6.65,4.15,5456
13206,1.11,Ideal,H,SI1,62.3,55,6.7,6.65,4.16,5456
13207,1.11,Ideal,H,SI1,61.6,56,6.69,6.65,4.11,5456
13208,1.21,Very Good,I,SI1,60.6,56,6.89,6.97,4.2,5457
13209,1.05,Ideal,F,SI1,62,55,6.5,6.54,4.04,5457
13210,1.12,Ideal,H,SI1,60.7,56,6.74,6.7,4.08,5457
13211,1.13,Ideal,E,SI2,62.2,56,6.7,6.66,4.16,5457
13212,1.01,Ideal,H,SI1,62.7,56,6.37,6.42,4.01,5457
13213,1.16,Premium,I,VS1,60.4,59,6.89,6.82,4.14,5457
13214,1.14,Premium,H,SI1,59.3,59,6.8,6.76,4.02,5458
13215,1,Ideal,E,SI1,61.9,56,6.37,6.45,3.97,5458
13216,0.91,Ideal,E,SI1,61.9,55,6.21,6.23,3.85,5458
13217,1.2,Good,I,SI1,64.4,61,6.52,6.59,4.22,5458
13218,1.18,Premium,G,SI1,62.1,59,6.75,6.71,4.18,5458
13219,1.14,Premium,H,SI1,61.9,58,6.71,6.67,4.14,5458
13220,1.14,Very Good,H,SI1,63.1,58,6.69,6.6,4.19,5458
13221,1.06,Ideal,J,VS2,61.4,56,6.55,6.6,4.04,5459
13222,1,Fair,H,VS1,55.8,60,6.66,6.61,3.7,5460
13223,1.5,Fair,D,I1,64.7,62,7.19,7.04,4.6,5460
13224,1.5,Premium,G,SI2,61.7,55,7.39,7.32,4.54,5460
13225,1.01,Very Good,E,SI1,60,60,6.43,6.51,3.88,5461
13226,1.01,Very Good,E,SI1,62.1,56,6.43,6.48,4.01,5461
13227,1.06,Ideal,G,SI1,62.9,56,6.52,6.49,4.09,5461
13228,1.06,Premium,H,SI1,61,60,6.59,6.56,4.01,5461
13229,1.21,Premium,H,VS2,60.8,62,6.82,6.78,4.13,5461
13230,1.29,Very Good,I,SI1,62.2,58,6.94,6.99,4.33,5463
13231,1.29,Premium,J,VS1,61.7,59,6.93,6.97,4.29,5463
13232,1.19,Premium,I,SI1,61.3,59,6.84,6.79,4.18,5464
13233,1.07,Premium,H,SI1,63,57,6.55,6.44,4.09,5465
13234,1.22,Premium,I,SI1,59,61,7.02,6.98,4.13,5466
13235,1.22,Premium,I,SI1,62.2,57,6.87,6.79,4.25,5466
13236,1.22,Premium,I,SI1,62.1,59,6.86,6.8,4.24,5466
13237,1.22,Premium,H,SI2,60.2,56,6.96,6.93,4.18,5466
13238,1.05,Premium,H,VS2,62.7,59,6.49,6.43,4.05,5468
13239,1.05,Premium,H,VS2,59,59,6.71,6.68,3.95,5468
13240,1.02,Premium,H,VS1,62.1,59,6.38,6.43,3.98,5469
13241,1.14,Ideal,I,SI1,62.3,58,6.65,6.7,4.16,5469
13242,1.04,Ideal,H,SI1,61.7,56,6.51,6.55,4.03,5469
13243,1,Good,D,SI1,64.9,53,6.27,6.3,4.08,5469
13244,1,Premium,E,SI1,60.8,60,6.45,6.42,3.91,5470
13245,1.14,Ideal,E,SI2,62.4,57,6.64,6.7,4.16,5473
13246,1.2,Very Good,G,SI2,60.2,63,6.81,6.84,4.11,5474
13247,1.2,Premium,I,VS2,62.1,59,6.77,6.72,4.19,5474
13248,1.01,Fair,G,VS2,66.6,55,6.27,6.22,4.16,5475
13249,0.9,Very Good,D,VS2,62.3,56,6.14,6.18,3.84,5476
13250,1.2,Very Good,I,SI1,62.6,57,6.74,6.77,4.23,5476
13251,1.03,Ideal,E,SI1,62.1,56,6.43,6.48,4.01,5476
13252,1.03,Ideal,E,SI1,61.3,57,6.48,6.51,3.98,5476
13253,1.1,Premium,H,SI1,60.7,59,6.72,6.7,4.07,5476
13254,1.18,Premium,I,VS1,62.6,59,6.73,6.71,4.21,5477
13255,1.01,Ideal,I,VVS1,61.7,56,6.42,6.47,3.98,5478
13256,1.01,Very Good,E,SI1,64.1,56,6.29,6.35,4.05,5479
13257,1.06,Very Good,H,VS2,62.4,56,6.49,6.56,4.07,5480
13258,1.05,Very Good,G,SI1,62,56,6.47,6.55,4.04,5480
13259,0.9,Good,F,VVS2,61.8,63,6.14,6.19,3.81,5480
13260,1.16,Premium,H,SI1,60.2,59,6.84,6.77,4.1,5480
13261,1.31,Premium,J,SI1,62.5,55,7.05,6.97,4.38,5480
13262,1.13,Very Good,F,SI1,60.6,60,6.67,6.76,4.07,5481
13263,1,Good,G,SI1,62.2,63,6.36,6.41,3.97,5483
13264,1.11,Premium,F,SI1,60.1,61,6.74,6.64,4.06,5483
13265,1.13,Ideal,H,SI1,62.3,56,6.69,6.66,4.16,5483
13266,1,Good,G,VS2,63.7,59,6.38,6.33,4.05,5484
13267,1.02,Premium,F,SI1,62.9,55,6.47,6.41,4.05,5484
13268,0.91,Very Good,G,VS2,62.3,59,6.13,6.17,3.83,5484
13269,1,Good,G,VS2,63.7,57,6.32,6.28,4.01,5484
13270,1,Good,G,VS2,56.6,61,6.65,6.61,3.75,5484
13271,1,Fair,G,VS2,67.6,57,6.2,6.13,4.17,5484
13272,1,Fair,G,VS2,63.7,55,6.28,6.21,3.98,5484
13273,1.2,Ideal,G,SI2,62.2,56,6.84,6.74,4.22,5484
13274,1.06,Premium,E,SI1,62,61,6.55,6.51,4.05,5485
13275,1.06,Premium,E,SI1,60.8,58,6.59,6.54,3.99,5485
13276,1.24,Very Good,H,SI2,63.2,55,6.88,6.83,4.33,5486
13277,1.09,Ideal,I,SI1,61.9,55,6.66,6.62,4.11,5486
13278,1.01,Ideal,F,SI1,62,56,6.44,6.39,3.98,5486
13279,1.01,Good,F,VS2,57.3,62,6.63,6.59,3.79,5487
13280,1.14,Good,H,SI1,62.8,58,6.62,6.67,4.17,5487
13281,1.12,Fair,G,VS1,64.8,56,6.48,6.52,4.21,5487
13282,1.38,Premium,G,SI2,58.3,59,7.34,7.27,4.26,5487
13283,1.08,Premium,F,SI1,61,59,6.67,6.57,4.04,5487
13284,1.3,Fair,J,SI1,66,57.1,6.73,6.82,4.45,5488
13285,1,Premium,D,SI1,61.3,54,6.39,6.37,3.91,5488
13286,1,Premium,D,SI1,59.5,60,6.49,6.42,3.84,5488
13287,1,Premium,D,SI1,62.1,58,6.45,6.34,3.97,5488
13288,1,Premium,D,SI1,61.5,60,6.38,6.34,3.91,5488
13289,1,Premium,D,SI1,62.1,61,6.32,6.3,3.92,5488
13290,1,Ideal,D,SI1,61.7,57,6.39,6.42,3.95,5489
13291,1.21,Ideal,J,SI1,62.7,55,6.84,6.79,4.27,5489
13292,1.21,Premium,J,VS1,60,60,6.95,6.88,4.15,5489
13293,1.2,Very Good,I,SI2,63.7,56,6.66,6.71,4.26,5490
13294,1.23,Good,H,SI1,63.7,59,6.76,6.71,4.29,5490
13295,1.06,Very Good,F,SI1,59.6,60,6.61,6.68,3.96,5491
13296,1.06,Very Good,F,SI1,58.8,57,6.67,6.76,3.95,5491
13297,1.03,Ideal,D,SI2,60.5,58,6.52,6.58,3.96,5491
13298,1.03,Premium,D,SI1,61.8,57,6.53,6.49,4.02,5491
13299,1.03,Ideal,E,SI2,61.7,55,6.52,6.46,4.01,5491
13300,1.05,Good,H,VS2,63.7,58,6.4,6.45,4.09,5492
13301,1.02,Ideal,E,SI1,60.5,56,6.57,6.53,3.96,5493
13302,1.05,Very Good,E,SI1,62.2,56,6.49,6.56,4.06,5494
13303,1.2,Ideal,E,SI2,61.1,55,6.9,6.87,4.21,5494
13304,1.04,Ideal,F,SI1,61.3,56,6.51,6.55,4,5495
13305,1.11,Ideal,H,SI2,61.2,56,6.7,6.69,4.1,5496
13306,1.09,Ideal,G,SI1,62.4,56,6.57,6.61,4.11,5496
13307,1.02,Good,D,SI1,63.3,58,6.35,6.39,4.03,5497
13308,1.19,Ideal,E,SI2,61.9,56,6.8,6.84,4.22,5497
13309,1.02,Good,D,SI1,63.5,61,6.27,6.35,4.01,5497
13310,1.24,Very Good,I,SI2,61.6,59,6.87,6.9,4.24,5497
13311,1.01,Very Good,G,SI1,62.9,58,6.35,6.4,4.01,5497
13312,1.01,Ideal,G,SI1,61.1,58,6.43,6.49,3.95,5497
13313,1.01,Good,G,VS2,62,61,6.29,6.38,3.93,5497
13314,1.03,Very Good,D,SI1,62.6,58,6.44,6.49,4.05,5498
13315,1.07,Ideal,H,SI1,62.1,56,6.53,6.58,4.07,5498
13316,1.07,Premium,H,VS2,62.4,59,6.53,6.46,4.05,5498
13317,1.01,Very Good,E,SI1,62.9,60,6.35,6.43,4.02,5499
13318,1.01,Good,E,SI1,63.3,55,6.37,6.42,4.05,5499
13319,1.01,Very Good,E,SI1,62.8,57,6.37,6.41,4.01,5499
13320,1.01,Very Good,E,SI1,62.9,58,6.35,6.41,4.01,5499
13321,1.25,Premium,J,VS1,62,58,6.89,6.92,4.28,5500
13322,1,Premium,E,SI1,61.6,59,6.38,6.41,3.94,5500
13323,1,Good,G,VS2,63.3,60,6.29,6.37,4.01,5500
13324,1.25,Very Good,I,SI1,58.9,58,7.04,7.08,4.16,5500
13325,1.02,Very Good,F,SI1,59.8,58,6.49,6.55,3.9,5500
13326,1.14,Ideal,H,SI1,62.3,56,6.72,6.69,4.18,5501
13327,1.01,Good,D,SI1,57.6,60,6.59,6.64,3.81,5501
13328,1.01,Fair,F,VS2,65.5,62,6.19,6.23,4.07,5501
13329,1.11,Ideal,D,SI2,62.2,57,6.66,6.62,4.12,5501
13330,0.9,Very Good,H,VS2,62.6,59,6.07,6.16,3.83,5502
13331,1.21,Premium,I,VS2,62.2,59,6.79,6.85,4.24,5502
13332,1.22,Ideal,H,SI2,61,57,6.88,6.93,4.2,5502
13333,1.22,Ideal,H,SI2,61.7,56,6.87,6.93,4.26,5502
13334,1.04,Premium,F,SI1,61.5,59,6.54,6.46,4,5504
13335,1.12,Very Good,G,SI2,61.2,58,6.65,6.69,4.08,5504
13336,0.9,Very Good,F,VVS2,61,63,6.13,6.09,3.73,5504
13337,1.22,Ideal,J,VS1,60.8,57,6.85,6.89,4.18,5504
13338,1.23,Premium,J,VS2,61.9,55,6.94,6.88,4.28,5504
13339,1.19,Premium,D,SI2,58.8,58,7.04,6.9,4.1,5504
13340,1.19,Ideal,D,SI2,60.4,55,6.91,6.89,4.17,5504
13341,1.05,Ideal,G,VS2,61.1,57,6.55,6.52,3.99,5504
13342,1.46,Fair,G,SI2,64.6,54,7.11,7.03,4.57,5504
13343,1.26,Premium,I,SI1,60.9,58,6.99,6.94,4.24,5504
13344,1,Good,F,VS2,63.4,56,6.27,6.35,4,5505
13345,1,Very Good,F,VS2,61.9,59,6.34,6.38,3.94,5505
13346,1.02,Ideal,H,SI1,59.8,58,6.56,6.58,3.93,5505
13347,1.02,Premium,G,VS2,62.7,58,6.44,6.36,4.01,5506
13348,1.11,Ideal,I,VS2,61.7,55,6.66,6.69,4.12,5506
13349,1.15,Premium,H,SI1,62,58,6.77,6.66,4.16,5506
13350,1.02,Very Good,E,SI1,63.1,61,6.42,6.35,4.03,5508
13351,0.24,Very Good,D,VS2,60.2,59,4.03,4.04,2.43,419
13352,0.27,Very Good,D,VS2,63,57,4.06,4.1,2.57,419
13353,0.24,Very Good,E,VS2,60.1,58,4.01,4.04,2.42,419
13354,0.24,Very Good,E,VS2,63.5,53,3.96,3.98,2.52,419
13355,0.24,Very Good,E,VS2,62.1,58,4,4.02,2.49,419
13356,0.24,Very Good,E,VS2,63.1,56,3.95,3.98,2.5,419
13357,0.24,Very Good,E,VS2,63,58,3.94,3.97,2.49,419
13358,0.24,Very Good,E,VS2,61.5,58,4.02,4.05,2.48,419
13359,0.24,Very Good,E,VS2,62.1,59,3.98,4.01,2.48,419
13360,0.24,Very Good,F,VS2,61.4,58,3.99,4.05,2.47,419
13361,0.24,Very Good,F,VS2,62.4,58,3.98,4,2.49,419
13362,0.24,Very Good,F,VS2,62.9,58,3.94,4.01,2.5,419
13363,0.24,Very Good,F,VS2,59.6,58,4.08,4.11,2.44,419
13364,0.24,Very Good,F,VS2,61.9,59,3.98,4,2.47,419
13365,0.24,Very Good,F,VS1,59.9,58,4.02,4.06,2.42,419
13366,0.24,Very Good,F,VS1,63,58,3.92,3.95,2.48,419
13367,0.24,Very Good,F,VS1,62.5,58,3.95,3.96,2.47,419
13368,0.24,Very Good,F,VS1,63,59,3.93,3.97,2.49,419
13369,0.24,Very Good,E,VS1,62.4,59,3.94,3.98,2.47,419
13370,0.24,Very Good,E,VS1,59.8,58,4.02,4.11,2.43,419
13371,0.24,Very Good,D,VS1,61.4,58,3.99,4.02,2.46,419
13372,0.24,Very Good,D,VS1,62.2,58,3.95,3.99,2.47,419
13373,0.24,Very Good,D,VS1,62.9,56,3.96,3.99,2.5,419
13374,0.24,Ideal,F,VS2,62.2,57,3.96,4.01,2.48,419
13375,0.24,Ideal,F,VS2,61.2,57,4.04,4.06,2.48,419
13376,0.24,Ideal,F,VS1,61.3,56,4,4.03,2.46,419
13377,0.26,Very Good,D,VS2,59.6,63,4.13,4.16,2.47,420
13378,0.26,Very Good,D,VS1,63.3,57,4.03,4.06,2.56,420
13379,0.32,Ideal,H,SI2,61.5,56,4.43,4.45,2.73,420
13380,0.32,Ideal,H,SI2,61.9,54,4.42,4.46,2.75,420
13381,0.3,Ideal,F,VS2,62,53.7,4.31,4.33,2.68,601
13382,0.3,Ideal,F,VS2,62.3,53.5,4.27,4.32,2.68,601
13383,0.3,Ideal,F,VS2,62.5,53.3,4.28,4.31,2.69,601
13384,0.3,Ideal,D,VS1,61,58,4.3,4.36,2.64,601
13385,0.31,Ideal,E,SI1,60.1,57,4.36,4.39,2.63,601
13386,0.37,Ideal,J,IF,61.9,54,4.63,4.68,2.88,601
13387,0.39,Fair,E,SI1,65.6,60,4.5,4.56,2.97,601
13388,0.35,Good,D,SI1,63.3,56,4.5,4.53,2.86,601
13389,0.35,Premium,D,SI1,61.5,58,4.53,4.55,2.79,601
13390,0.35,Ideal,D,SI1,62.1,57,4.47,4.49,2.78,601
13391,0.38,Ideal,G,SI2,61.6,55,4.64,4.68,2.87,602
13392,0.38,Ideal,G,SI2,61.2,56,4.7,4.74,2.89,602
