201898,NZDep2006,ch_asian,ch_euro,ch_maori,ch_melaa,ch_other,ch_pacific,m_age,m_asian,m_euro,m_maori,m_melaa,m_other,m_pacific,m_wklfs_code,d_age,d_asian,d_euro,d_maori,d_melaa,d_other,d_pacific,d_wklfs_code,bedroom_count_code,m_years_at_addr_code,m_tenure_holder_code,m_education,m_work_hours,m_smoke,m_income_srce7,m_income_srce8,m_income_srce9,m_income_srce10,m_income_srce11,m_income_srce12,d_years_at_addr_code,d_tenure_holder_code,d_education,d_work_hours,d_smoke,d_income_srce7,d_income_srce8,d_income_srce9,d_income_srce10,d_income_srce11,d_income_srce12,ch_sex,child_depend_family_type_code,d_family_role_code,heat_fuel,m_family_role_code,telecomm1_code,telecomm2_code,telecomm4_code,usual_resdnt_count_code,twin,singparstat,total_income_hhld_code
598,2,0,0,1,0,0,0,34,0,1,0,0,0,0,4,38,0,0,1,0,0,0,1,4,0,1,11,0,3,0,0,0,0,0,0,0,1,11,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,12
599,1,0,1,0,0,0,1,30,0,1,0,0,0,0,2,33,0,1,0,0,0,1,1,4,0,1,6,3,3,0,0,0,0,0,0,2,1,3,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,13
601,7,0,1,1,1,0,0,26,0,1,1,0,0,0,4,29,0,1,1,0,0,0,4,3,0,2,1,0,2,1,0,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,4,4,1,2,14
602,3,0,1,0,0,0,0,25,0,1,0,0,0,0,2,34,0,1,0,0,0,0,1,3,0,1,2,14,3,0,0,0,0,0,0,0,1,8,40,1,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,13
603,7,1,0,0,0,0,0,29,1,0,0,0,0,0,4,31,1,0,0,0,0,0,1,2,0,1,4,0,3,0,0,0,0,0,0,0,1,11,45,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,4,1,1,13
604,2,0,0,0,1,0,0,29,0,0,0,1,1,0,1,30,0,0,0,1,1,0,1,2,2,2,0,40,3,0,0,0,0,0,0,3,2,0,45,1,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,11
607,9,0,0,0,0,0,1,25,0,0,0,0,0,1,4,35,0,0,0,0,0,1,1,3,2,2,2,0,3,0,1,0,0,0,1,2,1,4,50,3,0,1,0,0,0,1,2,21,1,0,1,1,2,99,7,1,1,14
608,8,0,0,0,0,0,0,35,0,0,0,0,0,0,4,35,0,0,0,0,0,0,4,3,1,2,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,5,1,2,8
609,9,0,1,0,0,0,0,31,0,1,0,0,0,0,2,38,0,1,0,0,0,0,1,3,0,1,3,15,3,0,0,0,0,0,0,0,1,0,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,12
610,8,0,1,0,0,0,0,33,0,1,0,0,0,0,2,38,0,1,0,0,0,0,1,3,2,2,4,26,1,0,0,0,0,0,0,2,2,1,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,12
612,10,0,0,0,0,0,1,41,0,0,0,0,0,1,4,36,0,0,0,0,0,1,4,4,10,2,3,0,1,1,0,1,0,1,0,7,2,0,0,1,0,0,0,0,0,0,2,33,1,1,1,1,2,4,6,1,2,13
614,6,0,1,0,0,0,0,29,0,1,0,0,0,0,4,29,0,1,0,0,0,0,1,4,0,1,11,0,3,0,0,0,0,0,0,1,1,8,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,12
615,4,1,1,0,0,0,0,30,1,0,0,0,0,0,4,31,0,1,0,0,0,0,1,3,6,2,12,0,3,0,0,0,0,0,0,9,1,12,51,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,13
616,4,0,1,0,0,0,0,35,0,1,0,0,0,0,2,37,0,1,0,0,0,0,1,3,2,2,10,30,3,0,0,0,0,0,0,3,2,8,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,13
619,8,0,1,0,0,0,0,28,0,1,0,0,0,0,4,27,0,1,0,0,0,0,1,2,1,1,13,0,2,0,0,0,0,0,0,1,1,11,35,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,13
620,7,0,1,1,0,0,0,26,0,1,1,0,0,0,4,30,0,1,1,0,0,0,4,2,2,2,6,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,2,1,2,3
621,9,0,1,0,0,0,0,24,0,1,0,0,0,0,2,29,0,1,0,0,0,0,4,3,3,2,2,5,1,0,0,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,99,4,1,2,10
622,2,0,1,0,0,0,0,34,0,1,0,0,0,0,4,39,0,1,0,0,0,0,1,3,6,1,2,0,3,0,0,0,0,0,0,6,2,8,43,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,10
623,3,0,0,0,0,1,0,34,0,0,0,0,1,0,1,37,0,0,0,0,1,0,1,4,3,1,11,38,3,0,0,0,0,0,0,2,1,8,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,13
624,1,0,1,0,0,0,0,38,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,2,1,11,0,2,0,0,0,0,0,0,3,1,11,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,14
626,10,0,1,1,0,0,0,16,0,1,1,0,0,0,4,28,0,0,1,0,0,0,3,3,3,2,1,0,1,1,0,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,9,1,2,12
627,2,0,1,0,0,0,0,29,0,1,0,0,0,0,2,33,0,1,0,0,0,0,1,3,3,1,8,27,3,0,0,0,0,0,0,6,1,1,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,13
628,6,0,1,0,0,0,0,33,0,1,0,0,0,0,4,43,0,1,0,0,0,0,1,3,6,1,11,0,3,0,0,0,0,0,0,6,1,8,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,13
630,9,0,1,1,0,0,0,36,0,1,1,0,0,0,4,39,0,1,0,0,0,0,1,3,7,1,8,0,3,0,0,0,0,0,0,8,1,0,55,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,11
632,8,1,0,0,0,0,1,21,1,0,0,0,0,0,3,30,1,0,0,0,0,0,2,4,7,2,7,0,3,1,1,1,0,0,1,4,2,4,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,4,6,1,2,11
633,6,1,0,0,0,0,0,26,1,0,0,0,0,0,1,31,1,0,0,0,0,0,1,5,1,1,13,40,3,0,0,0,0,0,0,1,1,11,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,14
634,6,0,1,0,1,0,0,29,0,1,0,0,0,0,4,36,0,1,0,1,1,0,1,3,4,1,0,0,2,0,0,0,0,0,0,0,1,14,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,12
635,8,0,0,1,0,0,0,28,0,0,1,0,0,0,1,31,0,0,1,0,0,0,3,3,3,2,1,19,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,4,4,1,2,8
636,4,0,0,0,0,1,0,34,0,0,0,0,1,0,4,34,0,0,0,0,1,0,1,3,3,1,1,0,1,0,0,0,0,0,0,5,1,9,44,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,12
637,10,0,0,0,0,0,0,32,0,1,1,0,0,0,2,41,0,1,0,0,0,1,1,4,5,2,10,24,2,0,0,0,0,0,1,0,2,10,40,2,0,0,0,0,0,1,2,21,1,1,1,1,2,4,7,2,1,12
639,7,0,1,0,0,0,0,34,0,1,0,0,0,0,2,41,0,1,0,0,0,0,1,3,4,1,6,14,2,0,0,0,0,0,0,4,1,3,40,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,7
640,8,0,1,0,0,0,0,31,0,1,1,0,0,0,2,35,0,1,0,0,0,0,1,3,7,2,4,40,1,0,0,0,0,0,0,7,2,1,38,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,13
641,6,0,0,1,0,0,1,19,0,0,1,0,0,0,1,24,0,0,0,0,0,1,1,6,0,2,2,40,1,0,0,0,0,0,1,0,2,3,39,1,0,0,0,0,0,1,1,21,1,1,1,1,2,4,9,1,1,14
642,1,0,1,0,0,0,0,31,0,1,0,0,0,0,1,31,0,0,0,0,1,0,1,4,0,1,11,60,3,0,0,0,0,0,0,0,1,11,60,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,5,1,1,12
643,4,0,0,0,0,1,0,29,0,0,0,0,1,0,1,36,0,1,0,0,0,0,1,4,4,1,12,60,2,0,0,0,0,0,0,1,1,10,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,13
644,6,1,0,0,0,0,0,29,1,0,0,0,0,0,4,27,1,0,0,0,0,0,1,4,4,2,1,15,3,0,0,0,0,1,0,4,2,8,45,3,0,0,0,0,1,0,2,21,1,1,1,99,2,4,6,1,1,9
645,6,0,1,0,0,0,0,41,0,1,0,0,0,0,1,44,0,1,0,0,0,0,1,4,1,1,0,30,3,0,0,0,0,0,0,2,1,8,50,3,0,0,0,0,0,0,2,23,1,1,1,1,2,4,3,1,1,13
646,2,0,1,0,0,0,0,34,0,1,0,0,0,0,4,31,0,1,0,0,0,0,1,3,3,1,9,0,3,0,0,0,0,0,0,2,1,1,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,13
647,1,0,1,0,0,0,0,28,0,1,0,0,0,0,4,28,0,1,0,0,0,0,1,2,3,1,11,0,3,0,0,0,0,0,0,2,1,14,60,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,14
648,4,0,1,0,0,0,0,36,0,1,0,0,0,0,4,39,0,1,0,0,0,0,1,3,2,1,9,0,3,0,0,0,0,0,0,2,1,0,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,12
649,9,0,1,0,0,0,0,35,0,1,0,0,0,0,2,37,0,1,0,0,0,0,1,3,3,1,11,22,1,0,0,0,0,0,0,3,1,4,50,1,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,14
650,4,0,0,0,0,1,0,29,0,1,0,0,0,0,2,36,0,0,0,0,1,0,1,3,4,1,12,13,3,0,0,0,0,0,0,4,1,11,60,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,9
651,6,0,1,0,0,0,0,30,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,2,2,3,0,3,0,0,0,0,0,0,0,1,10,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,14
653,5,0,1,0,0,0,0,33,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,3,6,1,11,0,3,0,0,0,0,0,0,3,1,11,48,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,5,1,1,13
655,4,0,1,0,0,0,0,36,0,1,0,0,0,0,4,34,0,1,0,0,0,0,1,3,4,1,11,0,3,0,0,0,0,0,0,1,1,9,40,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,4,1,1,11
656,3,0,1,0,0,0,0,35,0,1,0,0,0,0,2,42,0,1,0,0,0,0,1,3,3,1,11,6,3,0,0,0,0,0,0,3,1,11,60,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,14
657,4,0,1,0,0,0,0,22,0,1,0,0,0,0,1,38,0,1,0,0,0,0,1,3,0,2,1,19,2,0,0,0,0,0,0,1,2,0,70,1,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,14
658,2,0,1,0,0,0,0,24,0,1,0,0,0,0,1,24,0,1,0,0,0,0,1,4,2,2,8,25,3,0,0,0,0,0,0,2,2,1,80,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,12
662,3,0,1,0,0,0,0,21,0,1,0,0,0,0,4,26,0,1,0,0,0,0,3,3,0,2,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,3,1,2,8
663,8,0,1,0,0,0,0,36,0,1,0,0,0,0,4,38,0,1,0,0,0,0,1,3,4,1,2,0,3,0,0,0,0,0,0,8,1,8,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,10
664,6,1,0,0,0,0,0,35,1,0,0,0,0,0,1,38,1,0,0,0,0,0,1,2,1,2,11,32,3,0,0,0,0,0,0,0,2,13,41,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,3,1,1,13
665,5,0,0,0,1,0,0,37,0,0,0,0,1,0,1,41,0,0,0,1,1,0,3,3,0,2,0,0,3,0,0,0,0,0,0,2,2,4,0,3,0,0,0,0,0,0,2,21,1,1,1,99,2,99,6,1,1,4
666,6,0,1,0,0,0,0,31,0,1,0,0,0,0,1,27,0,1,0,0,0,0,1,3,3,1,1,20,3,0,0,0,0,0,0,2,1,3,55,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,14
667,10,0,1,0,0,0,1,19,0,1,0,0,0,0,4,30,0,0,1,0,0,1,1,5,0,2,3,0,2,0,0,0,0,0,1,0,2,0,40,1,0,0,0,0,0,1,1,21,1,1,1,1,2,99,6,1,1,13
668,6,0,1,0,0,0,0,31,0,1,0,0,0,0,2,30,0,1,0,0,0,0,1,3,3,1,8,20,3,0,0,0,0,0,0,4,1,4,40,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,4,1,1,12
669,8,0,1,0,0,0,0,22,0,1,0,0,0,0,4,31,0,1,0,0,0,0,3,2,1,2,13,0,3,0,0,0,0,0,0,0,2,11,0,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,7
671,8,0,0,0,0,0,0,35,0,0,0,0,0,0,4,44,0,0,0,0,0,0,1,2,3,2,0,0,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,2,31,1,1,1,99,2,99,6,1,3,1
672,5,0,0,1,0,0,0,36,0,0,1,0,0,0,1,38,0,1,1,0,0,0,2,3,2,2,10,40,1,0,0,0,0,0,0,8,2,1,0,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,1,1,13
674,10,0,1,0,0,0,0,27,0,1,0,0,0,0,4,29,0,1,0,0,0,0,1,2,2,2,1,0,3,0,0,0,0,0,0,2,2,9,48,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,12
675,6,0,1,0,0,0,0,31,0,1,1,0,0,0,4,38,0,0,1,0,0,0,1,3,0,2,0,0,2,0,0,0,0,0,0,0,2,0,40,1,0,0,0,0,0,0,2,21,1,1,1,1,99,99,4,1,1,9
677,3,0,0,0,0,1,0,31,0,0,0,0,1,0,4,30,0,0,0,0,1,0,1,3,0,2,2,0,2,0,0,0,0,0,0,0,2,7,44,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,13
678,5,0,0,0,0,1,0,31,0,0,0,0,1,0,4,37,0,0,0,0,1,0,1,3,4,1,2,0,3,0,0,0,0,0,0,4,1,0,58,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,11
680,9,0,1,0,0,0,0,19,0,1,0,0,0,0,4,29,0,1,0,0,0,0,4,3,20,2,1,0,1,0,1,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,99,3,1,2,14
681,6,0,1,1,0,0,1,32,0,1,1,0,0,0,1,27,0,1,1,0,0,1,1,4,5,2,8,62,3,0,0,0,0,0,0,3,2,3,70,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,1,1,13
682,8,0,1,1,0,0,0,26,0,0,0,1,1,0,2,30,0,1,1,0,0,0,4,5,0,2,6,0,3,0,0,1,0,0,0,2,2,1,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,4,1,2,14
683,4,0,0,0,0,1,0,31,0,0,0,0,1,0,4,31,0,0,0,0,1,0,1,3,0,1,1,0,3,0,0,0,0,0,0,2,1,8,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,12
684,10,1,0,0,0,0,0,34,1,0,0,0,0,0,4,34,1,0,0,0,0,0,2,4,1,2,4,0,3,0,0,0,0,0,0,0,2,4,22,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,8,1,1,12
685,8,0,0,1,0,0,0,24,0,0,1,0,0,0,1,19,0,0,1,0,0,0,3,3,4,1,0,0,1,1,1,1,0,0,0,5,2,0,0,1,1,1,1,0,0,0,1,21,1,1,1,1,99,99,8,2,1,14
686,3,0,1,1,0,0,0,22,0,1,0,0,0,0,4,24,0,1,1,0,0,0,1,3,0,2,7,0,2,0,0,0,0,0,0,0,2,2,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,12
687,7,1,0,0,0,0,0,33,1,0,0,0,0,0,4,33,1,0,0,0,0,0,1,2,0,2,11,0,3,0,0,0,0,0,0,1,2,11,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,10
688,3,0,1,0,0,0,0,30,0,1,0,0,0,0,4,34,0,1,0,0,0,0,4,3,2,1,2,0,3,0,0,0,0,0,0,3,1,8,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,3,1,2,7
689,9,0,0,1,0,0,0,22,0,0,1,0,0,0,2,22,0,0,1,0,0,0,1,4,4,2,11,35,3,1,0,0,0,0,0,0,1,2,34,3,1,0,0,0,0,0,2,21,1,1,1,1,2,4,6,1,1,13
690,9,0,1,0,0,0,0,33,0,1,0,0,0,0,1,45,0,1,0,0,0,0,1,4,0,1,3,50,3,0,0,0,0,0,0,0,1,8,45,1,0,0,0,0,0,0,1,23,1,1,1,1,2,4,4,1,1,12
691,4,0,0,0,0,1,0,28,0,0,0,0,1,0,4,33,0,0,0,0,1,0,1,3,0,2,2,0,2,0,0,0,0,0,0,2,2,8,60,2,0,0,0,0,0,0,2,21,1,1,1,99,2,4,4,1,1,11
692,3,0,0,0,0,1,0,36,0,1,0,0,0,0,4,43,0,0,0,0,1,0,1,3,1,1,12,0,3,0,0,0,0,0,0,3,1,11,43,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,14
694,5,1,0,0,1,1,0,33,1,0,0,0,0,0,4,36,0,0,0,1,1,0,1,3,1,1,10,0,3,0,0,0,0,0,0,1,1,4,55,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,13
695,5,0,1,0,0,0,0,39,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,4,0,2,2,0,3,0,0,0,0,0,0,0,2,8,48,1,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,12
696,7,0,0,1,0,0,0,19,0,0,1,0,0,0,4,25,0,0,1,0,0,0,4,2,0,2,2,0,1,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,1,99,99,3,1,2,10
698,8,0,1,0,1,0,0,32,0,0,0,1,1,0,4,34,0,0,0,1,1,0,2,3,2,2,4,0,3,0,0,0,0,0,0,2,2,8,0,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,11
700,1,0,0,0,0,1,0,42,0,0,0,0,1,0,1,39,0,1,0,0,0,0,1,4,3,1,13,40,2,0,0,0,0,0,0,4,1,10,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,3,1,2,12
702,5,0,0,0,0,1,0,28,0,0,0,0,1,0,4,32,0,0,0,0,1,0,1,3,1,2,11,0,2,0,0,0,0,0,0,1,2,11,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,12
704,2,0,0,0,0,1,0,31,0,0,0,0,1,0,2,31,0,0,0,0,1,0,1,2,2,1,13,8,3,0,0,0,0,0,0,2,1,12,37,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,13
705,5,0,1,1,0,0,0,34,0,0,1,0,0,0,4,34,0,1,0,0,0,0,1,3,1,1,11,0,3,0,0,0,0,0,0,0,1,11,40,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,5,1,1,10
708,4,0,1,0,0,0,0,33,0,1,0,0,0,0,1,37,0,1,0,0,0,0,1,3,2,1,3,45,3,0,0,0,0,0,0,2,1,0,60,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,12
709,9,0,1,0,0,0,1,18,0,0,0,0,0,1,4,30,0,0,0,0,0,1,3,3,18,2,1,0,3,0,1,1,0,0,0,4,2,0,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,6,1,2,14
710,9,0,1,1,0,0,0,29,0,1,1,0,0,0,2,37,0,0,1,0,0,0,4,4,3,2,1,0,1,0,0,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,1,21,1,1,1,1,2,4,8,1,1,10
712,4,0,0,0,0,1,0,38,0,0,0,0,1,0,4,44,0,1,0,0,0,0,1,4,2,1,11,0,3,0,0,0,0,0,0,1,1,11,53,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,14
713,10,0,0,1,0,0,0,26,0,0,1,0,0,0,4,29,0,0,1,0,0,0,4,3,0,2,0,0,1,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,2,31,1,0,1,1,99,99,11,1,2,11
714,7,0,0,1,0,0,0,21,0,0,1,0,0,0,1,25,1,0,0,0,0,0,1,4,0,2,2,30,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,21,1,1,1,1,99,99,4,1,1,11
715,1,0,1,1,0,0,0,21,0,1,0,0,0,0,1,31,0,1,1,0,0,0,1,4,0,2,2,32,2,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,4,4,1,2,14
716,2,0,1,1,0,0,0,24,0,1,1,0,0,0,4,25,0,1,1,0,0,0,1,3,0,2,1,0,3,0,0,0,0,0,1,0,2,7,60,3,0,0,0,0,0,1,2,21,1,1,1,99,2,99,8,1,1,12
717,3,0,0,0,0,1,0,32,0,0,0,0,1,0,2,37,0,1,0,0,0,0,1,3,4,1,2,15,3,0,0,0,0,0,0,3,1,7,45,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,5,1,1,13
719,3,0,1,0,0,0,0,27,0,1,0,0,0,0,2,32,0,1,0,0,0,0,2,4,0,2,8,9,3,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,5,1,2,7
721,7,0,0,0,0,1,0,26,0,0,0,0,1,0,4,29,0,1,0,0,0,0,1,4,0,1,11,0,3,0,0,0,0,0,0,0,1,1,40,2,0,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,13
722,4,0,1,0,0,0,0,34,0,1,0,0,0,0,4,37,0,1,0,0,0,0,4,4,8,1,8,0,3,0,0,0,0,0,0,7,1,1,0,3,0,0,0,0,0,0,2,31,1,1,1,99,2,4,5,1,2,5
723,5,0,1,0,0,0,0,29,0,1,0,0,0,0,4,36,0,1,0,0,0,0,3,3,9,1,2,0,1,0,0,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,7
724,1,0,1,0,0,0,0,32,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,3,1,2,10,0,3,0,0,0,0,0,0,2,2,11,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,14
725,4,0,1,1,0,0,0,21,0,1,0,0,0,0,4,21,0,1,1,0,0,0,3,3,0,2,7,0,2,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,2,21,1,1,1,1,99,99,3,1,1,8
726,10,0,0,1,0,0,0,24,0,0,1,0,0,0,4,28,0,0,1,0,0,0,4,3,10,2,2,0,1,1,1,1,0,0,0,6,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,6,1,2,7
727,1,0,1,0,0,0,0,32,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,0,2,11,0,2,0,0,0,0,0,1,2,2,11,0,3,0,0,0,0,0,1,1,21,1,1,1,1,2,4,4,1,1,14
728,6,0,1,1,0,0,0,23,0,1,0,0,0,0,4,28,0,1,1,0,0,0,4,2,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,4,2,1,2,4
729,1,0,1,0,0,0,0,28,0,1,0,0,0,0,4,33,0,1,0,0,0,0,1,3,1,1,8,0,3,0,0,0,0,0,0,2,1,13,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,13
731,8,0,0,1,0,0,0,48,0,0,1,0,0,0,4,34,0,0,1,0,0,0,4,3,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,99,6,1,2,11
732,9,0,1,1,0,0,0,30,0,1,1,0,0,0,2,32,0,1,0,0,0,0,1,3,1,2,8,25,1,0,0,0,0,0,0,0,2,7,42,1,0,0,0,0,0,0,2,21,1,1,1,1,99,99,3,1,1,11
733,5,0,1,0,0,0,0,27,0,1,0,0,0,0,4,28,0,1,0,0,0,0,1,5,0,1,4,0,2,0,0,0,0,0,0,1,1,9,50,1,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,9
734,6,0,1,0,0,0,0,36,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,4,1,11,0,3,0,0,0,0,0,0,2,1,11,45,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,14
735,2,0,1,0,0,0,0,35,0,1,0,0,0,0,4,34,0,1,0,0,0,0,1,3,4,1,1,0,1,0,0,0,0,0,0,9,1,0,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,12
736,10,0,0,0,0,0,1,25,0,0,0,0,0,1,3,29,0,0,0,0,0,1,4,3,3,2,6,0,3,0,1,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,99,5,1,2,8
737,2,0,1,0,0,0,0,33,0,1,0,0,0,0,1,35,0,1,0,0,0,0,1,5,6,1,10,40,3,0,0,0,0,0,0,1,1,8,55,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,4,1,1,12
738,3,0,1,0,0,0,0,32,0,1,0,0,0,0,2,32,0,1,0,0,0,0,1,4,2,1,7,25,3,0,0,0,0,0,0,2,1,8,60,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,13
740,10,0,0,1,0,0,0,37,0,0,1,0,0,0,4,36,0,0,1,0,0,0,4,2,8,2,1,0,2,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,1,21,1,0,1,99,99,99,7,1,1,7
741,2,0,1,0,0,0,0,34,0,1,0,0,0,0,2,39,0,1,0,0,0,0,1,3,6,1,11,15,2,0,0,0,0,0,0,6,1,7,50,1,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,14
743,1,0,1,1,0,0,0,32,0,1,1,0,0,0,2,32,0,1,0,0,0,0,1,4,2,1,3,0,3,0,0,0,0,0,0,2,1,2,40,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,3,1,1,12
744,10,0,0,0,0,0,1,31,0,0,0,0,0,1,4,33,0,0,0,0,0,1,2,2,0,2,1,0,3,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,5,1,1,5
745,7,0,1,1,0,0,0,31,0,1,0,0,0,0,1,38,0,1,1,0,0,0,1,3,1,1,4,30,3,0,0,0,0,0,0,2,1,8,55,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,12
