description,industry,level,size,linecode,value
Business spent significant time and resource on labour factors,"Agriculture, forestry, & fishing support services",2,total,LC0302,558
Business spent significant time and resource on technological / equipment factors,"Agriculture, forestry, & fishing support services",2,total,LC0303,150
Business spent significant time and resource on financing factors,"Agriculture, forestry, & fishing support services",2,total,LC0304,186
Business spent significant time and resource on customer related factors,"Agriculture, forestry, & fishing support services",2,total,LC0305,204
Business spent significant time and resource on competition factors,"Agriculture, forestry, & fishing support services",2,total,LC0306,78
Business spent significant time and resource on regulatory factors,"Agriculture, forestry, & fishing support services",2,total,LC0307,312
Business spent significant time and resource on infrastructure factors,"Agriculture, forestry, & fishing support services",2,total,LC0308,111
Business spent significant time and resource on none of the above,"Agriculture, forestry, & fishing support services",2,total,LC0309,150
"Business responded to regulation: introduced new products, processes or services","Agriculture, forestry, & fishing support services",2,total,LC0401,111
"Business responded to regulation: improved existing products, processes or services","Agriculture, forestry, & fishing support services",2,total,LC0402,282
"Business responded to regulation: changed materials, equipment or work practices","Agriculture, forestry, & fishing support services",2,total,LC0403,189
Business responded to regulation: increased the use of outsourced services,"Agriculture, forestry, & fishing support services",2,total,LC0404,51
Business responded to regulation: raised the skill level or employees,"Agriculture, forestry, & fishing support services",2,total,LC0405,450
Business responded to regulation: none of the above,"Agriculture, forestry, & fishing support services",2,total,LC0406,264
Business effects from regulation: increased customer confidence,"Agriculture, forestry, & fishing support services",2,total,LC0501,114
Business effects from regulation: increased efficiency in running the business,"Agriculture, forestry, & fishing support services",2,total,LC0502,72
Business effects from regulation: increased employee productivity,"Agriculture, forestry, & fishing support services",2,total,LC0503,81
Business effects from regulation: provided new market opportunities,"Agriculture, forestry, & fishing support services",2,total,LC0504,21
Business effects from regulation: created a level playing field in this business's industry,"Agriculture, forestry, & fishing support services",2,total,LC0505,54
Business effects from regulation: increased competition,"Agriculture, forestry, & fishing support services",2,total,LC0506,90
Business effects from regulation: none of the above,"Agriculture, forestry, & fishing support services",2,total,LC0507,567
Business performance from employment regulation - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0601_01,201
Business performance from employment regulation - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0601_02,360
Business performance from employment regulation - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0601_03,135
Business performance from employment regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0601_04,75
Business performance from employment regulation - not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0601_05,93
Business performance from workplace safety - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0602_01,219
Business performance from workplace safety - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0602_02,234
Business performance from workplace safety - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0602_03,369
Business performance from workplace safety - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0602_04,6
Business performance from workplace safety- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0602_05,36
Business performance from environmental regulation - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0603_01,114
Business performance from environmental regulation - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0603_02,330
Business performance from environmental regulation - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0603_03,135
Business performance from environmental regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0603_04,105
Business performance from environmental regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0603_05,180
Business performance from business and trade laws - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0604_01,6
Business performance from business and trade laws - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0604_02,438
Business performance from business and trade laws - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0604_03,45
Business performance from business and trade laws - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0604_04,180
Business performance from business and trade laws- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0604_05,195
Business performance from product standards and product safety regulation - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0605_01,36
Business performance from product standards and product safety regulation - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0605_02,369
Business performance from product standards and product safety regulation - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0605_03,135
Business performance from product standards and product safety regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0605_04,111
Business performance from product standards and product safety regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0605_05,213
Business performance from border regulation - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0606_01,27
Business performance from border regulation - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0606_02,204
Business performance from border regulation - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0606_03,27
Business performance from border regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0606_04,81
Business performance from border regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0606_05,525
Business performance from other industry specific regulation - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0607_01,60
Business performance from other industry specific regulation - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0607_02,255
Business performance from other industry specific regulation - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0607_03,21
Business performance from other industry specific regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0607_04,168
Business performance from other industry specific regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0607_05,363
Regulation on business' ability to innovate - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0701_01,66
Regulation on business' ability to innovate - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0701_02,312
Regulation on business' ability to innovate - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0701_03,54
Regulation on business' ability to innovate - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0701_04,117
Regulation on business' ability to innovate - not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0701_05,318
Regulation on business' ability to export - constrained,"Agriculture, forestry, & fishing support services",2,total,LC0702_01,18
Regulation on business' ability to export - neither constrained nor enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0702_02,96
Regulation on business' ability to export - enhanced,"Agriculture, forestry, & fishing support services",2,total,LC0702_03,6
Regulation on business' ability to export - don't know,"Agriculture, forestry, & fishing support services",2,total,LC0702_04,63
Regulation on business' ability to export - not applicable,"Agriculture, forestry, & fishing support services",2,total,LC0702_05,684
Regulatory requirements: business spent significant time and resource finding out about what is required,"Agriculture, forestry, & fishing support services",2,total,LC0801,441
Regulatory requirements: business spent significant time and resource adjusting the business to regulatory changes,"Agriculture, forestry, & fishing support services",2,total,LC0802,375
Regulatory requirements: business spent significant time and resource providing the required information to government,"Agriculture, forestry, & fishing support services",2,total,LC0803,210
Regulatory requirements: business spent significant time and resource applying for consents and approvals,"Agriculture, forestry, & fishing support services",2,total,LC0804,225
Regulatory requirements: business spent significant time and resource on dispute resolution process,"Agriculture, forestry, & fishing support services",2,total,LC0805,42
"Regulatory requirements: business spent significant time and resource complying with monitoring, audits, and inspections","Agriculture, forestry, & fishing support services",2,total,LC0806,354
Regulatory requirements: business spent significant time and resource on none of the above,"Agriculture, forestry, & fishing support services",2,total,LC0807,204
Business spent significant time and resource on employment regulation,"Agriculture, forestry, & fishing support services",2,total,LC0901,450
Business spent significant time and resource on workplace safety,"Agriculture, forestry, & fishing support services",2,total,LC0902,735
Business spent significant time and resource on environmental regulation,"Agriculture, forestry, & fishing support services",2,total,LC0903,231
Business spent significant time and resource on business and trade laws,"Agriculture, forestry, & fishing support services",2,total,LC0904,69
Business spent significant time and resource on product standards and product safety regulation,"Agriculture, forestry, & fishing support services",2,total,LC0905,90
Business spent significant time and resource on border regulation,"Agriculture, forestry, & fishing support services",2,total,LC0906,21
Business spent significant time and resource on other industry specific regulation,"Agriculture, forestry, & fishing support services",2,total,LC0907,111
Business spent significant time and resource on none of the above,"Agriculture, forestry, & fishing support services",2,total,LC0908,102
Meeting regulatory requirements for employment regulation - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1001_01,306
Meeting regulatory requirements for employment regulation- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1001_02,315
Meeting regulatory requirements for employment regulation - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1001_03,96
Meeting regulatory requirements for employment regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC1001_04,102
Meeting regulatory requirements for employment regulation - not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1001_05,48
Meeting regulatory requirements for workplace safety - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1002_01,336
Meeting regulatory requirements for workplace safety- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1002_02,207
Meeting regulatory requirements for workplace safety - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1002_03,234
Meeting regulatory requirements for workplace safety - don't know,"Agriculture, forestry, & fishing support services",2,total,LC1002_04,72
Meeting regulatory requirements for workplace safety- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1002_05,15
Meeting regulatory requirements for environmental regulation - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1003_01,150
Meeting regulatory requirements for environmental regulation- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1003_02,303
Meeting regulatory requirements for environmental regulation - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1003_03,102
Meeting regulatory requirements for environmental regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC1003_04,84
Meeting regulatory requirements for environmental regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1003_05,225
Meeting regulatory requirements for business and trade laws - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1004_01,48
Meeting regulatory requirements for business and trade laws- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1004_02,321
Meeting regulatory requirements for business and trade laws - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1004_03,36
Meeting regulatory requirements for business and trade laws - don't know,"Agriculture, forestry, & fishing support services",2,total,LC1004_04,186
Meeting regulatory requirements for business and trade laws- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1004_05,273
Meeting regulatory requirements for product standards and product safety regulation - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1005_01,87
Meeting regulatory requirements for product standards and product safety regulation- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1005_02,276
Meeting regulatory requirements for product standards and product safety regulation - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1005_03,81
Meeting regulatory requirements for product standards and product safety regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC1005_04,135
Meeting regulatory requirements for product standards and product safety regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1005_05,285
Meeting regulatory requirements for border regulation - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1006_01,30
Meeting regulatory requirements for border regulation- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1006_02,108
Meeting regulatory requirements for border regulation - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1006_03,39
Meeting regulatory requirements for border regulation - don't know,"Agriculture, forestry, & fishing support services",2,total,LC1006_04,114
Meeting regulatory requirements for border regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1006_05,576
Meeting regulatory requirements for other industry specific regulation - greater flexibility,"Agriculture, forestry, & fishing support services",2,total,LC1007_01,54
Meeting regulatory requirements for other industry specific regulation- neutral,"Agriculture, forestry, & fishing support services",2,total,LC1007_02,189
Meeting regulatory requirements for other industry specific regulation - greater certainty,"Agriculture, forestry, & fishing support services",2,total,LC1007_03,45
Meeting regulatory requirements for other industry specific regulation- don't know,"Agriculture, forestry, & fishing support services",2,total,LC1007_04,162
Meeting regulatory requirements for other industry specific regulation- not applicable,"Agriculture, forestry, & fishing support services",2,total,LC1007_05,414
Reason for using external source for advice on regulation compliance: requirement by regulation,"Agriculture, forestry, & fishing support services",2,total,LC1101,207
Reason for using external source for advice on regulation compliance: more cost effective,"Agriculture, forestry, & fishing support services",2,total,LC1102,114
Reason for using external source for advice on regulation compliance: faster,"Agriculture, forestry, & fishing support services",2,total,LC1103,204
Reason for using external source for advice on regulation compliance: no internal resource available,"Agriculture, forestry, & fishing support services",2,total,LC1104,153
Reason for using external source for advice on regulation compliance: unreliable or inconsistent advice from other sources,"Agriculture, forestry, & fishing support services",2,total,LC1105,84
Reason for using external source for advice on regulation compliance: lack of clarity around legal requirements,"Agriculture, forestry, & fishing support services",2,total,LC1106,198
Reason for using external source for advice on regulation compliance: need for assurance,"Agriculture, forestry, & fishing support services",2,total,LC1107,339
Reason for using external source for advice on regulation compliance: independent advice need for compliance,"Agriculture, forestry, & fishing support services",2,total,LC1108,189
Reason for using external source for advice on regulation compliance: concern about penalties for non-compliance,"Agriculture, forestry, & fishing support services",2,total,LC1109,246
Reason for using external source for advice on regulation compliance: other,"Agriculture, forestry, & fishing support services",2,total,LC1110,33
Reason for using external source for advice on regulation compliance: no external source(s) was used,"Agriculture, forestry, & fishing support services",2,total,LC1111,258
Planning/regulatory process applied for consent or approval: Resource Management Act,"Agriculture, forestry, & fishing support services",2,total,LC1201,198
Planning/regulatory process applied for consent or approval: Building Act,"Agriculture, forestry, & fishing support services",2,total,LC1202,117
Planning/regulatory process applied for consent or approval: Conservation Act,"Agriculture, forestry, & fishing support services",2,total,LC1203,33
Planning/regulatory process applied for consent or approval: none of these,"Agriculture, forestry, & fishing support services",2,total,LC1204,540
Planning/regulatory process applied for consent or approval: don't know,"Agriculture, forestry, & fishing support services",2,total,LC1205,78
Effect of regulation on business performance: a significant negative impact,"Agriculture, forestry, & fishing support services",2,total,LC1300_01,81
Effect of regulation on business performance: a moderate negative impact,"Agriculture, forestry, & fishing support services",2,total,LC1300_02,186
Effect of regulation on business performance: no impact,"Agriculture, forestry, & fishing support services",2,total,LC1300_03,276
Effect of regulation on business performance: a moderate positive impact,"Agriculture, forestry, & fishing support services",2,total,LC1300_04,159
Effect of regulation on business performance: a significant positive impact,"Agriculture, forestry, & fishing support services",2,total,LC1300_05,36
Effect of regulation on business performance: don't know,"Agriculture, forestry, & fishing support services",2,total,LC1300_06,129
Business regulatory compliance costs: decreased significantly,"Agriculture, forestry, & fishing support services",2,total,LC1400_01,0
Business regulatory compliance costs: decreased moderately,"Agriculture, forestry, & fishing support services",2,total,LC1400_02,21
Business regulatory compliance costs: stayed the same,"Agriculture, forestry, & fishing support services",2,total,LC1400_03,171
Business regulatory compliance costs: increased moderately,"Agriculture, forestry, & fishing support services",2,total,LC1400_04,273
Business regulatory compliance costs: increased significantly,"Agriculture, forestry, & fishing support services",2,total,LC1400_05,198
Business regulatory compliance costs: don't know,"Agriculture, forestry, & fishing support services",2,total,LC1400_06,201
Reason for increase in compliance costs: introduction of new regulation,"Agriculture, forestry, & fishing support services",2,total,LC1501,240
Reason for increase in compliance costs: increased complexity of existing regulation,"Agriculture, forestry, & fishing support services",2,total,LC1502,288
Reason for increase in compliance costs: improved compliance with regulation,"Agriculture, forestry, & fishing support services",2,total,LC1503,216
Reason for increase in compliance costs: expansion of business operations,"Agriculture, forestry, & fishing support services",2,total,LC1504,51
Reason for increase in compliance costs: other,"Agriculture, forestry, & fishing support services",2,total,LC1505,30
Reason for increase in compliance costs: don't know,"Agriculture, forestry, & fishing support services",2,total,LC1506,54
Business spent significant time and resource on supplier factors,Mining,1,total,LC0301,48
Business spent significant time and resource on labour factors,Mining,1,total,LC0302,72
Business spent significant time and resource on technological / equipment factors,Mining,1,total,LC0303,45
Business spent significant time and resource on financing factors,Mining,1,total,LC0304,18
Business spent significant time and resource on customer related factors,Mining,1,total,LC0305,39
Business spent significant time and resource on competition factors,Mining,1,total,LC0306,15
Business spent significant time and resource on regulatory factors,Mining,1,total,LC0307,72
Business spent significant time and resource on infrastructure factors,Mining,1,total,LC0308,21
Business spent significant time and resource on none of the above,Mining,1,total,LC0309,12
"Business responded to regulation: introduced new products, processes or services",Mining,1,total,LC0401,18
"Business responded to regulation: improved existing products, processes or services",Mining,1,total,LC0402,36
"Business responded to regulation: changed materials, equipment or work practices",Mining,1,total,LC0403,39
Business responded to regulation: increased the use of outsourced services,Mining,1,total,LC0404,21
Business responded to regulation: raised the skill level or employees,Mining,1,total,LC0405,69
Business responded to regulation: none of the above,Mining,1,total,LC0406,30
Business effects from regulation: increased customer confidence,Mining,1,total,LC0501,9
Business effects from regulation: increased efficiency in running the business,Mining,1,total,LC0502,12
Business effects from regulation: increased employee productivity,Mining,1,total,LC0503,12
Business effects from regulation: provided new market opportunities,Mining,1,total,LC0504,3
Business effects from regulation: created a level playing field in this business's industry,Mining,1,total,LC0505,9
Business effects from regulation: increased competition,Mining,1,total,LC0506,6
Business effects from regulation: none of the above,Mining,1,total,LC0507,84
Business performance from employment regulation - constrained,Mining,1,total,LC0601_01,15
Business performance from employment regulation - neither constrained nor enhanced,Mining,1,total,LC0601_02,66
Business performance from employment regulation - enhanced,Mining,1,total,LC0601_03,15
Business performance from employment regulation - don't know,Mining,1,total,LC0601_04,6
Business performance from employment regulation - not applicable,Mining,1,total,LC0601_05,9
Business performance from workplace safety - constrained,Mining,1,total,LC0602_01,30
Business performance from workplace safety - neither constrained nor enhanced,Mining,1,total,LC0602_02,30
Business performance from workplace safety - enhanced,Mining,1,total,LC0602_03,48
Business performance from workplace safety - don't know,Mining,1,total,LC0602_04,0
Business performance from workplace safety- not applicable,Mining,1,total,LC0602_05,3
Business performance from environmental regulation - constrained,Mining,1,total,LC0603_01,36
Business performance from environmental regulation - neither constrained nor enhanced,Mining,1,total,LC0603_02,42
Business performance from environmental regulation - enhanced,Mining,1,total,LC0603_03,24
Business performance from environmental regulation - don't know,Mining,1,total,LC0603_04,3
Business performance from environmental regulation- not applicable,Mining,1,total,LC0603_05,6
Business performance from business and trade laws - constrained,Mining,1,total,LC0604_01,3
Business performance from business and trade laws - neither constrained nor enhanced,Mining,1,total,LC0604_02,66
Business performance from business and trade laws - enhanced,Mining,1,total,LC0604_03,12
Business performance from business and trade laws - don't know,Mining,1,total,LC0604_04,21
Business performance from business and trade laws- not applicable,Mining,1,total,LC0604_05,12
Business performance from product standards and product safety regulation - constrained,Mining,1,total,LC0605_01,6
Business performance from product standards and product safety regulation - neither constrained nor enhanced,Mining,1,total,LC0605_02,60
Business performance from product standards and product safety regulation - enhanced,Mining,1,total,LC0605_03,12
Business performance from product standards and product safety regulation - don't know,Mining,1,total,LC0605_04,9
Business performance from product standards and product safety regulation- not applicable,Mining,1,total,LC0605_05,27
Business performance from border regulation - constrained,Mining,1,total,LC0606_01,0
Business performance from border regulation - neither constrained nor enhanced,Mining,1,total,LC0606_02,39
Business performance from border regulation - enhanced,Mining,1,total,LC0606_03,3
Business performance from border regulation - don't know,Mining,1,total,LC0606_04,6
Business performance from border regulation- not applicable,Mining,1,total,LC0606_05,63
Business performance from other industry specific regulation - constrained,Mining,1,total,LC0607_01,15
Business performance from other industry specific regulation - neither constrained nor enhanced,Mining,1,total,LC0607_02,39
Business performance from other industry specific regulation - enhanced,Mining,1,total,LC0607_03,6
Business performance from other industry specific regulation - don't know,Mining,1,total,LC0607_04,21
Business performance from other industry specific regulation- not applicable,Mining,1,total,LC0607_05,33
Regulation on business' ability to innovate - constrained,Mining,1,total,LC0701_01,12
Regulation on business' ability to innovate - neither constrained nor enhanced,Mining,1,total,LC0701_02,48
Regulation on business' ability to innovate - enhanced,Mining,1,total,LC0701_03,6
Regulation on business' ability to innovate - don't know,Mining,1,total,LC0701_04,6
Regulation on business' ability to innovate - not applicable,Mining,1,total,LC0701_05,42
Regulation on business' ability to export - constrained,Mining,1,total,LC0702_01,6
Regulation on business' ability to export - neither constrained nor enhanced,Mining,1,total,LC0702_02,27
Regulation on business' ability to export - enhanced,Mining,1,total,LC0702_03,6
Regulation on business' ability to export - don't know,Mining,1,total,LC0702_04,3
Regulation on business' ability to export - not applicable,Mining,1,total,LC0702_05,72
Regulatory requirements: business spent significant time and resource finding out about what is required,Mining,1,total,LC0801,72
Regulatory requirements: business spent significant time and resource adjusting the business to regulatory changes,Mining,1,total,LC0802,69
Regulatory requirements: business spent significant time and resource providing the required information to government,Mining,1,total,LC0803,45
Regulatory requirements: business spent significant time and resource applying for consents and approvals,Mining,1,total,LC0804,63
Regulatory requirements: business spent significant time and resource on dispute resolution process,Mining,1,total,LC0805,6
"Regulatory requirements: business spent significant time and resource complying with monitoring, audits, and inspections",Mining,1,total,LC0806,78
Regulatory requirements: business spent significant time and resource on none of the above,Mining,1,total,LC0807,12
Business spent significant time and resource on employment regulation,Mining,1,total,LC0901,48
Business spent significant time and resource on workplace safety,Mining,1,total,LC0902,102
Business spent significant time and resource on environmental regulation,Mining,1,total,LC0903,78
Business spent significant time and resource on business and trade laws,Mining,1,total,LC0904,12
Business spent significant time and resource on product standards and product safety regulation,Mining,1,total,LC0905,18
Business spent significant time and resource on border regulation,Mining,1,total,LC0906,0
Business spent significant time and resource on other industry specific regulation,Mining,1,total,LC0907,27
Business spent significant time and resource on none of the above,Mining,1,total,LC0908,6
Meeting regulatory requirements for employment regulation - greater flexibility,Mining,1,total,LC1001_01,27
Meeting regulatory requirements for employment regulation- neutral,Mining,1,total,LC1001_02,66
Meeting regulatory requirements for employment regulation - greater certainty,Mining,1,total,LC1001_03,9
Meeting regulatory requirements for employment regulation - don't know,Mining,1,total,LC1001_04,6
Meeting regulatory requirements for employment regulation - not applicable,Mining,1,total,LC1001_05,6
Meeting regulatory requirements for workplace safety - greater flexibility,Mining,1,total,LC1002_01,39
Meeting regulatory requirements for workplace safety- neutral,Mining,1,total,LC1002_02,39
Meeting regulatory requirements for workplace safety - greater certainty,Mining,1,total,LC1002_03,30
Meeting regulatory requirements for workplace safety - don't know,Mining,1,total,LC1002_04,3
Meeting regulatory requirements for workplace safety- not applicable,Mining,1,total,LC1002_05,3
Meeting regulatory requirements for environmental regulation - greater flexibility,Mining,1,total,LC1003_01,45
Meeting regulatory requirements for environmental regulation- neutral,Mining,1,total,LC1003_02,39
Meeting regulatory requirements for environmental regulation - greater certainty,Mining,1,total,LC1003_03,18
Meeting regulatory requirements for environmental regulation - don't know,Mining,1,total,LC1003_04,6
Meeting regulatory requirements for environmental regulation- not applicable,Mining,1,total,LC1003_05,3
Meeting regulatory requirements for business and trade laws - greater flexibility,Mining,1,total,LC1004_01,9
Meeting regulatory requirements for business and trade laws- neutral,Mining,1,total,LC1004_02,60
Meeting regulatory requirements for business and trade laws - greater certainty,Mining,1,total,LC1004_03,12
Meeting regulatory requirements for business and trade laws - don't know,Mining,1,total,LC1004_04,15
Meeting regulatory requirements for business and trade laws- not applicable,Mining,1,total,LC1004_05,21
Meeting regulatory requirements for product standards and product safety regulation - greater flexibility,Mining,1,total,LC1005_01,9
Meeting regulatory requirements for product standards and product safety regulation- neutral,Mining,1,total,LC1005_02,54
Meeting regulatory requirements for product standards and product safety regulation - greater certainty,Mining,1,total,LC1005_03,9
Meeting regulatory requirements for product standards and product safety regulation - don't know,Mining,1,total,LC1005_04,15
Meeting regulatory requirements for product standards and product safety regulation- not applicable,Mining,1,total,LC1005_05,27
Meeting regulatory requirements for border regulation - greater flexibility,Mining,1,total,LC1006_01,0
Meeting regulatory requirements for border regulation- neutral,Mining,1,total,LC1006_02,36
Meeting regulatory requirements for border regulation - greater certainty,Mining,1,total,LC1006_03,3
Meeting regulatory requirements for border regulation - don't know,Mining,1,total,LC1006_04,9
Meeting regulatory requirements for border regulation- not applicable,Mining,1,total,LC1006_05,66
Meeting regulatory requirements for other industry specific regulation - greater flexibility,Mining,1,total,LC1007_01,18
Meeting regulatory requirements for other industry specific regulation- neutral,Mining,1,total,LC1007_02,36
Meeting regulatory requirements for other industry specific regulation - greater certainty,Mining,1,total,LC1007_03,9
Meeting regulatory requirements for other industry specific regulation- don't know,Mining,1,total,LC1007_04,15
Meeting regulatory requirements for other industry specific regulation- not applicable,Mining,1,total,LC1007_05,33
Reason for using external source for advice on regulation compliance: requirement by regulation,Mining,1,total,LC1101,42
Reason for using external source for advice on regulation compliance: more cost effective,Mining,1,total,LC1102,18
Reason for using external source for advice on regulation compliance: faster,Mining,1,total,LC1103,18
Reason for using external source for advice on regulation compliance: no internal resource available,Mining,1,total,LC1104,42
Reason for using external source for advice on regulation compliance: unreliable or inconsistent advice from other sources,Mining,1,total,LC1105,12
Reason for using external source for advice on regulation compliance: lack of clarity around legal requirements,Mining,1,total,LC1106,39
Reason for using external source for advice on regulation compliance: need for assurance,Mining,1,total,LC1107,33
Reason for using external source for advice on regulation compliance: independent advice need for compliance,Mining,1,total,LC1108,48
Reason for using external source for advice on regulation compliance: concern about penalties for non-compliance,Mining,1,total,LC1109,21
Reason for using external source for advice on regulation compliance: other,Mining,1,total,LC1110,3
Reason for using external source for advice on regulation compliance: no external source(s) was used,Mining,1,total,LC1111,18
Planning/regulatory process applied for consent or approval: Resource Management Act,Mining,1,total,LC1201,69
Planning/regulatory process applied for consent or approval: Building Act,Mining,1,total,LC1202,24
Planning/regulatory process applied for consent or approval: Conservation Act,Mining,1,total,LC1203,15
Planning/regulatory process applied for consent or approval: none of these,Mining,1,total,LC1204,27
Planning/regulatory process applied for consent or approval: don't know,Mining,1,total,LC1205,9
Effect of regulation on business performance: a significant negative impact,Mining,1,total,LC1300_01,12
Effect of regulation on business performance: a moderate negative impact,Mining,1,total,LC1300_02,39
Effect of regulation on business performance: no impact,Mining,1,total,LC1300_03,36
Effect of regulation on business performance: a moderate positive impact,Mining,1,total,LC1300_04,15
Effect of regulation on business performance: a significant positive impact,Mining,1,total,LC1300_05,6
Effect of regulation on business performance: don't know,Mining,1,total,LC1300_06,6
Business regulatory compliance costs: decreased significantly,Mining,1,total,LC1400_01,0
Business regulatory compliance costs: decreased moderately,Mining,1,total,LC1400_02,3
Business regulatory compliance costs: stayed the same,Mining,1,total,LC1400_03,27
Business regulatory compliance costs: increased moderately,Mining,1,total,LC1400_04,36
Business regulatory compliance costs: increased significantly,Mining,1,total,LC1400_05,39
Business regulatory compliance costs: don't know,Mining,1,total,LC1400_06,6
Reason for increase in compliance costs: introduction of new regulation,Mining,1,total,LC1501,51
Reason for increase in compliance costs: increased complexity of existing regulation,Mining,1,total,LC1502,39
Reason for increase in compliance costs: improved compliance with regulation,Mining,1,total,LC1503,30
Reason for increase in compliance costs: expansion of business operations,Mining,1,total,LC1504,15
Reason for increase in compliance costs: other,Mining,1,total,LC1505,0
Reason for increase in compliance costs: don't know,Mining,1,total,LC1506,0
Business spent significant time and resource on supplier factors,Manufacturing,1,total,LC0301,2544
Business spent significant time and resource on labour factors,Manufacturing,1,total,LC0302,2766
Business spent significant time and resource on technological / equipment factors,Manufacturing,1,total,LC0303,1734
Business spent significant time and resource on financing factors,Manufacturing,1,total,LC0304,939
Business spent significant time and resource on customer related factors,Manufacturing,1,total,LC0305,2673
Business spent significant time and resource on competition factors,Manufacturing,1,total,LC0306,582
Business spent significant time and resource on regulatory factors,Manufacturing,1,total,LC0307,2331
Business spent significant time and resource on infrastructure factors,Manufacturing,1,total,LC0308,675
Business spent significant time and resource on none of the above,Manufacturing,1,total,LC0309,651
"Business responded to regulation: introduced new products, processes or services",Manufacturing,1,total,LC0401,1098
"Business responded to regulation: improved existing products, processes or services",Manufacturing,1,total,LC0402,2070
"Business responded to regulation: changed materials, equipment or work practices",Manufacturing,1,total,LC0403,1752
Business responded to regulation: increased the use of outsourced services,Manufacturing,1,total,LC0404,675
Business responded to regulation: raised the skill level or employees,Manufacturing,1,total,LC0405,2256
Business responded to regulation: none of the above,Manufacturing,1,total,LC0406,1491
Business effects from regulation: increased customer confidence,Manufacturing,1,total,LC0501,786
Business effects from regulation: increased efficiency in running the business,Manufacturing,1,total,LC0502,714
Business effects from regulation: increased employee productivity,Manufacturing,1,total,LC0503,540
